game_id,season,season_type,week,start_date,completed,neutral_site,conference_game,attendance,venue_id,venue,home_team_id,home_team,away_team_id,away_team,home_points,away_points,home_abbreviation,home_conference,home_classification,away_abbreviation,away_conference,away_classification,spread_provider_count,consensus_spread,spread_mean,spread_median,spread_min,spread_max,spread_range,spread_stddev,spread_open_provider_count,consensus_spread_open,spread_open_mean,spread_open_median,spread_open_min,spread_open_max,spread_open_range,spread_open_stddev,total_provider_count,consensus_total,total_mean,total_median,total_min,total_max,total_range,total_stddev,total_open_provider_count,consensus_total_open,total_open_mean,total_open_median,total_open_min,total_open_max,total_open_range,total_open_stddev,betting_available,home_rank,away_rank,home_rank_source,away_rank_source,home_rank_available,away_rank_available,venue_timezone,venue_timezone_source,venue_local_start_date,venue_local_time_available
400869090,2016,regular,1,2016-08-27 02:00:00+00:00,True,True,False,61247,5221,ANZ Stadium,25,California,62,Hawai'i,51,31,CAL,Pac-12,fbs,HAW,Mountain West,fbs,2,-22.25,-22.25,-22.25,-23.0,-21.5,1.5,1.0606601717798212,0,,,,,,,,1,66.0,66.0,66.0,66.0,66.0,0.0,0.0,0,,,,,,,,True,,,,,False,False,Australia/Sydney,CFBD,2016-08-27T12:00:00+10:00,True
400869257,2016,regular,1,2016-09-01 23:00:00+00:00,True,False,False,16215,3786,Kelly/Shorts Stadium,2117,Central Michigan,2506,Presbyterian,49,3,CMU,Mid-American,fbs,PRES,Big South,fcs,1,-33.0,-33.0,-33.0,-33.0,-33.0,0.0,0.0,0,,,,,,,,0,,,,,,,,0,,,,,,,,True,,,,,False,False,America/Detroit,CFBD,2016-09-01T19:00:00-04:00,True
400869503,2016,regular,1,2016-09-01 23:00:00+00:00,True,False,False,29377,3892,Pratt & Whitney Stadium,41,UConn,311,Maine,24,21,CONN,American Athletic,fbs,ME,CAA,fcs,1,-27.0,-27.0,-27.0,-27.0,-27.0,0.0,0.0,0,,,,,,,,0,,,,,,,,0,,,,,,,,True,,,,,False,False,America/New_York,CFBD,2016-09-01T19:00:00-04:00,True
400869341,2016,regular,1,2016-09-01 23:00:00+00:00,True,False,False,0,3873,L&N Federal Credit Union Stadium,97,Louisville,2429,Charlotte,70,14,LOU,ACC,fbs,CLT,Conference USA,fbs,2,-39.0,-39.0,-39.0,-39.5,-38.5,1.0,0.7071067811865476,0,,,,,,,,1,58.5,58.5,58.5,58.5,58.5,0.0,0.0,0,,,,,,,,True,19,,AP,,True,False,America/Kentucky/Louisville,CFBD,2016-09-01T19:00:00-04:00,True
400869421,2016,regular,1,2016-09-01 23:00:00+00:00,True,False,False,24398,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,2655,Tulane,7,3,WAKE,ACC,fbs,TULN,American Athletic,fbs,2,-15.0,-15.0,-15.0,-16.0,-14.0,2.0,1.4142135623730951,0,,,,,,,,1,43.0,43.0,43.0,43.0,43.0,0.0,0.0,0,,,,,,,,True,,,,,False,False,America/New_York,CFBD,2016-09-01T19:00:00-04:00,True
400869502,2016,regular,1,2016-09-01 23:00:00+00:00,True,False,False,28520,3854,Nippert Stadium,2132,Cincinnati,2630,UT Martin,28,7,CIN,American Athletic,fbs,UTM,OVC,fcs,1,-24.0,-24.0,-24.0,-24.0,-24.0,0.0,0.0,0,,,,,,,,0,,,,,,,,0,,,,,,,,True,,,,,False,False,America/New_York,CFBD,2016-09-01T19:00:00-04:00,True
400869342,2016,regular,1,2016-09-01 23:30:00+00:00,True,False,False,16089,218,FIU Stadium,2229,Florida International,84,Indiana,13,34,FIU,Conference USA,fbs,IU,Big Ten,fbs,2,6.5,6.5,6.5,3.0,10.0,7.0,4.949747468305833,0,,,,,,,,1,64.0,64.0,64.0,64.0,64.0,0.0,0.0,0,,,,,,,,True,,,,,False,False,America/New_York,CFBD,2016-09-01T19:30:00-04:00,True
400868977,2016,regular,1,2016-09-01 23:30:00+00:00,True,False,False,100074,3853,Neyland Stadium,2633,Tennessee,2026,App State,20,13,TENN,SEC,fbs,APP,Sun Belt,fbs,2,-22.25,-22.25,-22.25,-23.0,-21.5,1.5,1.0606601717798212,0,,,,,,,,1,58.0,58.0,58.0,58.0,58.0,0.0,0.0,0,,,,,,,,True,9,,AP,,True,False,America/New_York,CFBD,2016-09-01T19:30:00-04:00,True
400869422,2016,regular,1,2016-09-01 23:30:00+00:00,True,False,False,57774,3670,Carter-Finley Stadium,152,NC State,2729,William & Mary,48,14,NCSU,ACC,fbs,W&M,CAA,fcs,1,-30.5,-30.5,-30.5,-30.5,-30.5,0.0,0.0,0,,,,,,,,0,,,,,,,,0,,,,,,,,True,,,,,False,False,America/New_York,CFBD,2016-09-01T19:30:00-04:00,True
400869347,2016,regular,1,2016-09-02 00:00:00+00:00,True,False,True,19286,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,242,Rice,46,14,WKU,Conference USA,fbs,RICE,Conference USA,fbs,2,-16.75,-16.75,-16.75,-19.0,-14.5,4.5,3.181980515339464,0,,,,,,,,1,64.5,64.5,64.5,64.5,64.5,0.0,0.0,0,,,,,,,,True,,,,,False,False,America/Chicago,CFBD,2016-09-01T19:00:00-05:00,True
