game_id,season,season_type,week,start_date,completed,neutral_site,conference_game,attendance,venue_id,venue,home_team_id,home_team,away_team_id,away_team,home_points,away_points
401256135,2020,postseason,1,2020-12-21 19:30:00+00:00,True,True,False,5000,3654,Brooks Stadium (SC),249,North Texas,2026,App State,28,56
401256136,2020,postseason,1,2020-12-22 20:30:00+00:00,True,True,False,0,3653,Albertsons Stadium,2440,Nevada,2655,Tulane,38,27
401256137,2020,postseason,1,2020-12-23 00:00:00+00:00,True,True,False,6000,3715,FAU Stadium,252,BYU,2116,UCF,49,23
401256138,2020,postseason,1,2020-12-23 20:00:00+00:00,True,True,False,3000,3493,Caesars Superdome,290,Georgia Southern,2348,Louisiana Tech,38,3
401256139,2020,postseason,1,2020-12-24 00:00:00+00:00,True,True,False,2979,3689,Cramton Bowl,2226,Florida Atlantic,235,Memphis,10,25
401256140,2020,postseason,1,2020-12-24 20:30:00+00:00,True,True,False,2060,1400,Toyota Stadium,248,Houston,62,Hawai'i,14,28
401256141,2020,postseason,1,2020-12-25 19:30:00+00:00,True,True,False,2512,3689,Cramton Bowl,2084,Buffalo,276,Marshall,17,10
401256144,2020,postseason,1,2020-12-26 20:30:00+00:00,True,True,False,3512,3735,Gerald J. Ford Stadium,2636,UTSA,309,Louisiana,24,31
401256145,2020,postseason,1,2020-12-26 20:30:00+00:00,True,True,False,5128,3797,Ladd Peebles Stadium,2247,Georgia State,98,Western Kentucky,39,21
401256143,2020,postseason,1,2020-12-27 00:30:00+00:00,True,True,False,4488,4013,Camping World Stadium,324,Coastal Carolina,2335,Liberty,34,37
401256150,2020,postseason,1,2020-12-29 22:30:00+00:00,True,True,False,,4013,Camping World Stadium,2390,Miami,197,Oklahoma State,34,37
401256151,2020,postseason,1,2020-12-30 02:00:00+00:00,True,True,False,10822,3604,Alamodome,38,Colorado,251,Texas,23,55
401256152,2020,postseason,1,2020-12-30 17:00:00+00:00,True,True,False,1500,3628,Bank of America Stadium,275,Wisconsin,154,Wake Forest,42,28
401256194,2020,postseason,1,2020-12-31 01:00:00+00:00,True,True,False,17323,3687,AT&T Stadium,201,Oklahoma,57,Florida,55,20
401256196,2020,postseason,1,2020-12-31 17:00:00+00:00,True,True,False,9000,3616,Amon G. Carter Stadium,344,Mississippi State,202,Tulsa,28,26
401268773,2020,postseason,1,2020-12-31 19:00:00+00:00,True,True,False,0,3619,Arizona Stadium,23,San José State,2050,Ball State,13,34
401256197,2020,postseason,1,2020-12-31 21:00:00+00:00,True,True,False,8187,3805,Simmons Bank Liberty Stadium,349,Army,277,West Virginia,21,24
401256108,2020,postseason,1,2021-01-01 17:00:00+00:00,True,True,False,15301,5348,Mercedes-Benz Stadium,61,Georgia,2132,Cincinnati,24,21
401256199,2020,postseason,1,2021-01-01 18:00:00+00:00,True,True,False,13000,4013,Camping World Stadium,77,Northwestern,2,Auburn,35,19
401240152,2020,postseason,1,2021-01-01 21:00:00+00:00,True,True,False,18373,3687,AT&T Stadium,333,Alabama,87,Notre Dame,31,14
401240173,2020,postseason,1,2021-01-02 01:00:00+00:00,True,True,False,3000,3493,Caesars Superdome,228,Clemson,194,Ohio State,28,49
401256109,2020,postseason,1,2021-01-02 17:00:00+00:00,True,True,False,10422,3712,EverBank Stadium,96,Kentucky,152,NC State,23,21
401256110,2020,postseason,1,2021-01-02 17:30:00+00:00,True,True,False,11025,3886,Raymond James Stadium,84,Indiana,145,Ole Miss,20,26
401256111,2020,postseason,1,2021-01-02 21:00:00+00:00,True,True,False,0,3970,State Farm Stadium,66,Iowa State,2483,Oregon,34,17
401256112,2020,postseason,1,2021-01-03 01:00:00+00:00,True,True,False,13737,3948,Hard Rock Stadium,153,North Carolina,245,Texas A&M,27,41
401240174,2020,postseason,1,2021-01-12 01:00:00+00:00,True,True,False,14926,3948,Hard Rock Stadium,333,Alabama,194,Ohio State,52,24
