season,season_type,week,team_id,school,conference,cfp_rank,ap_rank,coaches_rank,effective_rank,ranking_source
2019,postseason,1,99,LSU,SEC,,1,1,1,AP
2019,postseason,1,228,Clemson,ACC,,2,2,2,AP
2019,postseason,1,194,Ohio State,Big Ten,,3,3,3,AP
2019,postseason,1,61,Georgia,SEC,,4,4,4,AP
2019,postseason,1,2483,Oregon,Pac-12,,5,5,5,AP
2019,postseason,1,57,Florida,SEC,,6,7,6,AP
2019,postseason,1,201,Oklahoma,Big 12,,7,6,7,AP
2019,postseason,1,333,Alabama,SEC,,8,8,8,AP
2019,postseason,1,213,Penn State,Big Ten,,9,9,9,AP
2019,postseason,1,135,Minnesota,Big Ten,,10,10,10,AP
2019,postseason,1,275,Wisconsin,Big Ten,,11,13,11,AP
2019,postseason,1,87,Notre Dame,FBS Independents,,12,11,12,AP
2019,postseason,1,239,Baylor,Big 12,,13,12,13,AP
2019,postseason,1,2,Auburn,SEC,,14,14,14,AP
2019,postseason,1,2294,Iowa,Big Ten,,15,15,15,AP
2019,postseason,1,254,Utah,Pac-12,,16,16,16,AP
2019,postseason,1,235,Memphis,American Athletic,,17,17,17,AP
2019,postseason,1,130,Michigan,Big Ten,,18,19,18,AP
2019,postseason,1,2026,App State,Sun Belt,,19,18,19,AP
2019,postseason,1,2426,Navy,American Athletic,,20,20,20,AP
2019,postseason,1,2132,Cincinnati,American Athletic,,21,21,21,AP
2019,postseason,1,2005,Air Force,Mountain West,,22,23,22,AP
2019,postseason,1,68,Boise State,Mountain West,,23,22,23,AP
2019,postseason,1,2116,UCF,American Athletic,,24,24,24,AP
2019,postseason,1,251,Texas,Big 12,,25,,25,AP
2019,postseason,1,258,Virginia,ACC,,,25,25,Coaches
2019,regular,1,228,Clemson,ACC,,1,1,1,AP
2019,regular,1,333,Alabama,SEC,,2,2,2,AP
2019,regular,1,61,Georgia,SEC,,3,3,3,AP
2019,regular,1,201,Oklahoma,Big 12,,4,4,4,AP
2019,regular,1,194,Ohio State,Big Ten,,5,5,5,AP
2019,regular,1,99,LSU,SEC,,6,6,6,AP
2019,regular,1,130,Michigan,Big Ten,,7,7,7,AP
2019,regular,1,57,Florida,SEC,,8,8,8,AP
2019,regular,1,87,Notre Dame,FBS Independents,,9,9,9,AP
2019,regular,1,251,Texas,Big 12,,10,10,10,AP
2019,regular,1,2483,Oregon,Pac-12,,11,13,11,AP
2019,regular,1,245,Texas A&M,SEC,,12,11,12,AP
2019,regular,1,264,Washington,Pac-12,,13,12,13,AP
2019,regular,1,254,Utah,Pac-12,,14,15,14,AP
2019,regular,1,213,Penn State,Big Ten,,15,14,15,AP
2019,regular,1,2,Auburn,SEC,,16,16,16,AP
