game_id,season,season_type,week,start_date,completed,neutral_site,conference_game,attendance,venue_id,venue,home_team_id,home_team,away_team_id,away_team,home_points,away_points,home_abbreviation,home_conference,home_classification,away_abbreviation,away_conference,away_classification,spread_provider_count,consensus_spread,spread_mean,spread_median,spread_min,spread_max,spread_range,spread_stddev,spread_open_provider_count,consensus_spread_open,spread_open_mean,spread_open_median,spread_open_min,spread_open_max,spread_open_range,spread_open_stddev,total_provider_count,consensus_total,total_mean,total_median,total_min,total_max,total_range,total_stddev,total_open_provider_count,consensus_total_open,total_open_mean,total_open_median,total_open_min,total_open_max,total_open_range,total_open_stddev,betting_available,home_rank,away_rank,home_rank_source,away_rank_source,home_rank_available,away_rank_available
401238035,2020,regular,1,2020-09-04 00:00:00+00:00,True,False,False,12716.0,3803,Legion Field,5,UAB,2110,Central Arkansas,45,35,UAB,Conference USA,fbs,CARK,Southland,fcs,2,-21.0,-21.0,-21.0,-21.0,-21.0,0.0,0.0,0,,,,,,,,2,49.75,49.75,49.75,49.5,50.0,0.5,0.3535533905932738,0,,,,,,,,True,,,,,False,False
401207101,2020,regular,1,2020-09-04 01:00:00+00:00,True,False,False,,3815,M. M. Roberts Stadium,2572,Southern Miss,6,South Alabama,21,32,USM,Conference USA,fbs,USA,Sun Belt,fbs,5,-12.5,-12.4,-12.5,-12.5,-12.0,0.5,0.22360679774997896,0,,,,,,,,5,55.0,54.9,55.0,54.5,55.5,1.0,0.4183300132670378,0,,,,,,,,True,,,,,False,False
401237353,2020,regular,1,2020-09-05 17:00:00+00:00,True,False,False,12001.0,3775,Joan C. Edwards Stadium,276,Marshall,2198,Eastern Kentucky,59,0,MRSH,Conference USA,fbs,EKU,OVC,fcs,2,-25.75,-25.75,-25.75,-26.0,-25.5,0.5,0.3535533905932738,0,,,,,,,,2,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0,,,,,,,,True,,,,,False,False
401235700,2020,regular,1,2020-09-05 17:30:00+00:00,True,False,False,5249.0,3841,Michie Stadium,349,Army,2393,Middle Tennessee,42,0,ARMY,FBS Independents,fbs,MTSU,Conference USA,fbs,5,-3.5,-3.6,-3.5,-4.0,-3.5,0.5,0.22360679774997896,0,,,,,,,,5,54.0,53.8,54.0,53.0,54.5,1.5,0.570087712549569,0,,,,,,,,True,,,,,False,False
401212484,2020,regular,1,2020-09-05 20:30:00+00:00,True,False,False,7500.0,3644,Bobcat Stadium (TX),326,Texas State,2567,SMU,24,31,TXST,Sun Belt,fbs,SMU,American Athletic,fbs,5,24.5,24.8,24.5,24.5,25.5,1.0,0.4472135954999579,0,,,,,,,,5,70.0,70.0,70.0,69.5,70.5,1.0,0.3535533905932738,0,,,,,,,,True,,,,,False,False
401207098,2020,regular,1,2020-09-05 23:30:00+00:00,True,False,False,7611.0,3825,DATCU Stadium,249,North Texas,2277,Houston Christian,57,31,UNT,Conference USA,fbs,HCU,Southland,fcs,2,-23.0,-23.0,-23.0,-23.0,-23.0,0.0,0.0,0,,,,,,,,2,74.25,74.25,74.25,74.0,74.5,0.5,0.3535533905932738,0,,,,,,,,True,,,,,False,False
401212553,2020,regular,1,2020-09-06 00:00:00+00:00,True,False,False,4537.0,3805,Simmons Bank Liberty Stadium,235,Memphis,2032,Arkansas State,37,24,MEM,American Athletic,fbs,ARST,Sun Belt,fbs,5,-18.5,-18.5,-18.5,-18.5,-18.5,0.0,0.0,0,,,,,,,,5,72.0,72.0,72.0,71.5,72.5,1.0,0.5,0,,,,,,,,True,,,,,False,False
401239884,2020,regular,1,2020-09-06 01:00:00+00:00,True,False,False,6047.0,3946,Sun Bowl,2638,UTEP,2617,Stephen F. Austin,24,14,UTEP,Conference USA,fbs,SFA,Southland,fcs,2,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0,,,,,,,,2,54.0,54.0,54.0,54.0,54.0,0.0,0.0,0,,,,,,,,True,,,,,False,False
401234576,2020,regular,1,2020-09-08 00:00:00+00:00,True,False,False,0.0,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,252,BYU,3,55,NAVY,American Athletic,fbs,BYU,FBS Independents,fbs,5,1.0,1.2,1.0,1.0,1.5,0.5,0.27386127875258304,0,,,,,,,,5,48.5,48.3,48.5,48.0,48.5,0.5,0.27386127875258304,0,,,,,,,,True,,,,,False,False
401234559,2020,regular,2,2020-09-11 00:00:00+00:00,True,False,False,8153.0,3948,Hard Rock Stadium,2390,Miami,5,UAB,31,14,MIA,ACC,fbs,UAB,Conference USA,fbs,5,-15.5,-15.8,-15.5,-16.5,-15.5,1.0,0.4472135954999579,0,,,,,,,,5,55.0,55.1,55.0,55.0,55.5,0.5,0.22360679774997896,0,,,,,,,,True,,,,,False,False
