game_id,season,season_type,week,start_date,completed,neutral_site,conference_game,attendance,venue_id,venue,home_team_id,home_team,away_team_id,away_team,home_points,away_points
401635525,2024,regular,1,2024-08-24 16:00:00+00:00,True,True,True,47998.0,3504,Aviva Stadium,59,Georgia Tech,52,Florida State,24.0,21.0
401643697,2024,regular,1,2024-08-24 20:00:00+00:00,True,False,False,17314.0,3971,University Stadium (NM),167,New Mexico,147,Montana State,31.0,35.0
401643696,2024,regular,1,2024-08-25 00:00:00+00:00,True,False,False,20263.0,3816,Mackay Stadium,2440,Nevada,2567,SMU,24.0,29.0
401643858,2024,regular,1,2024-08-25 03:59:00+00:00,True,False,False,12206.0,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,2169,Delaware State,35.0,14.0
401628458,2024,regular,1,2024-08-29 22:00:00+00:00,True,False,False,47803.0,6577,SHI Stadium,164,Rutgers,47,Howard,44.0,7.0
401628582,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,44206.0,3652,FBC Mortgage Stadium,2116,UCF,160,New Hampshire,57.0,3.0
401644727,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,16400.0,3965,UB Stadium,2084,Buffalo,322,Lafayette,30.0,13.0
401634299,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,56919.0,3670,Carter-Finley Stadium,152,NC State,2717,Western Carolina,38.0,21.0
401628581,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,29450.0,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,2448,North Carolina A&T,45.0,13.0
401644729,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,12786.0,3700,Doyt L. Perry Stadium,189,Bowling Green,2230,Fordham,41.0,17.0
401644730,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,18055.0,3786,Kelly/Shorts Stadium,2117,Central Michigan,2115,Central Connecticut,66.0,10.0
401636387,2024,regular,1,2024-08-29 23:00:00+00:00,True,False,False,11145.0,3817,Malone Stadium,2433,UL Monroe,2296,Jackson State,30.0,14.0
401644728,2024,regular,1,2024-08-29 23:30:00+00:00,True,False,False,23515.0,3739,Glass Bowl,2649,Toledo,2184,Duquesne,49.0,10.0
401628320,2024,regular,1,2024-08-29 23:30:00+00:00,True,True,False,40127.0,3983,War Memorial Stadium (AR),8,Arkansas,2029,Arkansas-Pine Bluff,70.0,0.0
401645318,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,16483.0,3674,Chapman Stadium,202,Tulsa,2466,Northwestern State,62.0,28.0
401640998,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,18977.0,3662,AmFirst Stadium,55,Jacksonville State,324,Coastal Carolina,27.0,55.0
401645316,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,21267.0,7221,Protective Stadium,5,UAB,2016,Alcorn State,41.0,3.0
401645317,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,20143.0,4729,Yulman Stadium,2655,Tulane,2545,SE Louisiana,52.0,0.0
401628327,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,62621.0,3838,Memorial Stadium,142,Missouri,93,Murray State,51.0,0.0
401628448,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,50805.0,3953,Huntington Bank Stadium,135,Minnesota,153,North Carolina,17.0,19.0
401634206,2024,regular,1,2024-08-30 00:00:00+00:00,True,False,False,49438.0,3726,Folsom Field,38,Colorado,2449,North Dakota State,31.0,26.0
401636606,2024,regular,1,2024-08-30 00:00:00+00:00,True,True,False,20829.0,3486,Children's Mercy Park,2305,Kansas,2815,Lindenwood,48.0,3.0
401636607,2024,regular,1,2024-08-30 01:00:00+00:00,True,False,False,52210.0,587,Rice-Eccles Stadium,254,Utah,253,Southern Utah,49.0,0.0
401654845,2024,regular,1,2024-08-30 01:00:00+00:00,True,False,False,43849.0,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,2197,Eastern Illinois,45.0,0.0
401643698,2024,regular,1,2024-08-30 02:00:00+00:00,True,False,False,13811.0,3935,CEFCU Stadium,23,San José State,16,Sacramento State,42.0,24.0
401645319,2024,regular,1,2024-08-30 22:00:00+00:00,True,False,False,23760.0,3841,Michie Stadium,349,Army,2329,Lehigh,42.0,7.0
401628328,2024,regular,1,2024-08-30 23:00:00+00:00,True,False,False,83329.0,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,218,Temple,51.0,3.0
401628453,2024,regular,1,2024-08-30 23:00:00+00:00,True,False,False,70271.0,3936,Spartan Stadium,127,Michigan State,2226,Florida Atlantic,16.0,10.0
401628584,2024,regular,1,2024-08-30 23:30:00+00:00,True,False,False,18466.0,3982,Wallace Wade Stadium,150,Duke,2210,Elon,26.0,3.0
401628461,2024,regular,1,2024-08-31 01:00:00+00:00,True,False,False,75158.0,347,Camp Randall Stadium,275,Wisconsin,2711,Western Michigan,28.0,14.0
401634300,2024,regular,1,2024-08-31 02:30:00+00:00,True,False,False,36026.0,3940,Stanford Stadium,24,Stanford,2628,TCU,27.0,34.0
401643703,2024,regular,1,2024-08-31 04:00:00+00:00,True,False,False,17037.0,3905,Maverik Stadium,328,Utah State,2523,Robert Morris,36.0,14.0
401628451,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,35421.0,3665,SECU Stadium,120,Maryland,41,UConn,50.0,7.0
401632062,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,47067.0,3873,L&N Federal Credit Union Stadium,97,Louisville,2046,Austin Peay,62.0,0.0
401645322,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,28763.0,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,2083,Bucknell,49.0,21.0
401634169,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,59488.0,3907,Ross-Ade Stadium,2509,Purdue,282,Indiana State,49.0,0.0
401634305,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,44616.0,3752,Acrisure Stadium,221,Pittsburgh,2309,Kent State,55.0,24.0
401628457,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,62084.0,3842,Milan Puskar Stadium,277,West Virginia,213,Penn State,12.0,34.0
401628323,2024,regular,1,2024-08-31 16:00:00+00:00,True,True,False,78827.0,5348,Mercedes-Benz Stadium,61,Georgia,228,Clemson,34.0,3.0
401628333,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,,3973,FirstBank Stadium,238,Vanderbilt,259,Virginia Tech,34.0,27.0
401628450,2024,regular,1,2024-08-31 16:00:00+00:00,True,False,False,69250.0,3793,Kinnick Stadium,2294,Iowa,2287,Illinois State,40.0,0.0
401628330,2024,regular,1,2024-08-31 16:45:00+00:00,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,236,Chattanooga,69.0,3.0
401634212,2024,regular,1,2024-08-31 18:00:00+00:00,True,False,False,52202.0,3646,Boone Pickens Stadium,197,Oklahoma State,2571,South Dakota State,44.0,20.0
401628591,2024,regular,1,2024-08-31 18:30:00+00:00,True,False,False,37654.0,3854,Nippert Stadium,2132,Cincinnati,119,Towson,38.0,20.0
401637159,2024,regular,1,2024-08-31 19:00:00+00:00,True,False,False,20089.0,3820,Gesa Field,265,Washington State,2502,Portland State,70.0,30.0
